# IRS Statistics of Income, Individual Complete Report (Publication 1304),
# Table 3.5, Returns with Modified Taxable Income: Tax Generated, by Size of
# Adjusted Gross Income and by Tax Rate.  Tax years 2022 and 2023.
# https://www.irs.gov/pub/irs-soi/22in35tr.xls
# https://www.irs.gov/pub/irs-soi/23in35tr.xls
# Money amounts are thousands of dollars, as published.
# statutory_rate is the preferential capital-gains rate the income was taxed
# at; niit_rate is 3.8 percent where the AGI class lies at or above the
# section 1411 threshold of $200,000 and zero below it.
# Regenerate with: python scripts/build_capital_gains_data.py
tax_year,agi_class,agi_lower,agi_upper,statutory_rate,niit_rate,returns,income_taxed_at_rate_thousands,tax_generated_thousands
2023,"$100,000 under $200,000",100000.0,200000.0,0.15,0.0,7636838,69214844.0,10382356.0
2023,"$200,000 under $500,000",200000.0,500000.0,0.0,0.038,249664,9643248.0,0.0
2023,"$200,000 under $500,000",200000.0,500000.0,0.15,0.038,6390951,159516947.0,23927684.0
2023,"$200,000 under $500,000",200000.0,500000.0,0.2,0.038,30702,714299.0,142859.0
2023,"$200,000 under $500,000",200000.0,500000.0,0.25,0.038,47757,395361.0,98846.0
2023,"$200,000 under $500,000",200000.0,500000.0,0.28,0.038,2130,41098.0,11507.0
2023,"$500,000 under $1,000,000",500000.0,1000000.0,0.0,0.038,44270,2254249.0,0.0
2023,"$500,000 under $1,000,000",500000.0,1000000.0,0.15,0.038,739369,73527937.0,11029207.0
2023,"$500,000 under $1,000,000",500000.0,1000000.0,0.2,0.038,923905,43283965.0,8656791.0
2023,"$500,000 under $1,000,000",500000.0,1000000.0,0.25,0.038,69485,1926322.0,481590.0
2023,"$500,000 under $1,000,000",500000.0,1000000.0,0.28,0.038,3579,209079.0,58542.0
2023,"$1,000,000 under $1,500,000",1000000.0,1500000.0,0.0,0.038,12266,713951.0,0.0
2023,"$1,000,000 under $1,500,000",1000000.0,1500000.0,0.15,0.038,52054,13955750.0,2093363.0
