Size of adjusted gross income,"Number
of
"$200,000 under $500,000",10955818,7093647,23873431,3049004,4569612,1114058,687499,0,0,0,0,4686454,13844854,189594,1845825,451234,450330,357340,2378966,136832,924280,42762,323184,2247,22054,0,0,35818,17255,147515,1100602,1340,3093,40469,92696,0,0,26864,68723,0,0,5615,18614,8,67,0,0,33603,62535,0,0,20101,38974,0,0,10916814,507817738,5776501,5658100,10930853,513407398,6680268,22567374,1970508,15228012,0,0,3461,4722,4377,5499,93507,109991,0,0,593048,1811026,49097,291879,47639,21836,5241460,4192377,46747,69276,3656,6008,0,0,3629,5856,0,0,10936055,535942553,10834469,523879713,10372569,423631164,9379506,370260505,3324590,48405711,4097905,4796564,2586038,82155783,689441,15011697,982088,2782824,16477,28920,8623,24153,0,0,8573,23923,0,0,10941930,513372854,5130483,51469480,4247663,35426126,1095614,16043354,5781072,64775312,2706754,1244323,,
"$500,000 under $1,000,000",1779720,1013469,5914499,832145,4129370,167399,100628,0,0,0,0,14372,18413,30338,351394,71704,82996,107997,1222525,76422,874397,22468,318765,0,0,0,0,9135,4309,0,0,184,155,3473,580,0,0,56,52,0,0,0,0,0,0,0,0,3457,555,0,0,0,0,0,0,1773247,267531097,2320285,33669227,1777679,273875800,1434799,11007673,465262,6010193,0,0,714,1438,896,1442,0,0,0,0,71024,250294,35781,271530,4221,1997,1310112,4293805,9030,34556,10,11,0,0,7,10,0,0,1778046,284881735,1757208,271629615,1618788,173394691,1515276,161172228,405813,8338719,1169604,3834914,814620,75832822,343767,21090495,217879,1159324,3805,984,13,2373,0,0,9,12,0,0,1777705,273875719,750784,26207213,403578,10526018,406896,15681195,1017807,40269774,633122,808785,,
"$1,000,000 under $1,500,000",368931,240130,3233333,211452,2372186,25234,15816,0,0,0,0,0,0,6373,86527,12078,14559,43086,740797,36450,583926,6136,151805,0,0,0,0,1297,719,0,0,0,0,1706,92,0,0,0,0,0,0,0,0,25,936,0,0,1705,91,0,0,0,0,0,0,367694,112468857,0,0,368514,115740460,292898,4084279,117695,2194393,0,0,343,766,343,766,1908,3028,764,9162,12752,73541,12121,110048,0,0,263990,1664709,2128,5988,6,16,0,0,0,0,0,0,368595,119824604,364335,117025899,321417,56910583,299813,53440401,79132,1875555,227820,1594602,238242,45098817,119744,14736549,40448,237195,1094,682,0,0,0,0,0,0,0,0,368515,115740460,186324,13300894,66015,3110293,134890,10190600,180665,16464064,140314,364331,,
"$1,500,000 under $2,000,000",147290,100244,1971636,89994,1446740,6794,4217,0,0,0,0,0,0,2363,29254,3983,4953,21570,484982,18726,376404,2759,92691,0,0,0,0,637,359,0,0,0,0,890,72,0,0,0,0,0,0,0,0,0,0,0,0,890,72,0,0,0,0,0,0,146550,66883369,0,0,147132,69021581,114958,2083862,49716,1100100,0,0,63,154,63,154,575,217,522,7612,4147,16957,5629,61863,0,0,102500,883456,1259,3837,0,0,0,0,0,0,0,0,147171,71105332,145629,71268919,126042,29161994,116870,27491692,30433,878085,86716,783271,105193,31096960,59051,10886723,16413,99167,438,624,0,0,0,0,0,0,0,0,147133,69021574,80686,8904316,25208,1994488,61890,6909829,65913,8956189,57186,215356,,
"$2,000,000 under $5,000,000",203230,146528,5692359,132536,4305575,7976,5433,0,0,0,0,0,0,3091,60800,3952,4476,39485,1311718,36130,1073521,3716,213981,0,0,0,0,483,272,0,0,0,0,2029,3299,0,0,0,0,0,0,0,0,0,0,0,0,2026,3284,0,0,0,0,0,0,202338,162811816,0,0,202992,168461033,159578,4521101,72942,2274211,27,18,122,224,146,242,967,2308,1141,88573,4697,17525,10157,144322,0,0,141562,1952555,2965,32593,0,0,0,0,0,0,0,0,203064,172981909,201154,179086866,170105,62590006,159164,59655231,39668,1200913,118885,1733397,155904,82837864,97283,33444078,21989,135859,854,1315,0,0,0,0,0,0,0,0,203000,168460991,124157,24064135,32828,4386553,101560,19677582,78059,18385290,71383,425929,,
"$5,000,000 under $10,000,000",49262,38494,3557278,35228,2715240,1155,792,0,0,0,0,0,0,676,19807,645,748,13643,819870,12811,669991,1231,130288,0,0,0,0,66,35,0,0,0,0,834,182,0,0,0,0,0,0,0,0,0,0,0,0,833,181,0,0,0,0,0,0,49056,90455235,0,0,49212,94042477,39665,2146613,19903,1003831,0,0,62,67,62,67,198,405,583,53960,950,2321,3840,79139,0,0,35058,956479,1183,49520,0,0,0,0,0,0,0,0,49231,96189077,48926,103765696,40713,30405595,37886,29278251,9612,306448,29319,814290,40979,48890475,29450,24356617,5406,35004,357,526,0,0,0,0,0,0,0,0,49214,94042472,34536,15246812,7942,2381307,29972,12865505,14482,7849872,15288,179672,,
"$10,000,000 or more",30382,25194,11476307,23218,9414003,469,345,0,0,0,0,0,0,385,14624,285,336,10921,2034205,10390,1800514,811,150394,0,0,0,0,27,15,0,0,0,0,864,14682,0,0,0,0,0,0,0,0,0,0,0,0,864,12323,0,0,0,0,0,0,30229,220785934,0,0,30346,233464129,24968,3580701,13010,1270087,0,0,40,91,43,134,132,167,876,182991,489,11103,3533,144517,0,0,21910,1620683,1091,349025,0,0,0,0,0,0,0,0,30356,237044862,30190,271186566,25388,59953213,23365,55459098,6127,2013896,19023,2393474,26335,123067847,21050,88007470,3766,26523,341,1174,0,0,0,0,0,0,0,0,30347,233461769,23494,47058843,4928,7839536,21237,39219308,6804,13211757,8241,296970,,
"Taxable returns, total",111572368,44688161,122568392,11284558,28263910,4150015,2528846,4429031,4868886,5618288,919166,25730224,63984381,811022,5018893,2327694,2129756,1127694,11336526,476067,6724345,101304,1441657,16618,91828,7187,373,98685,47164,368655,2672783,66379,101985,4723787,3380136,1202342,348961,99470,251399,2516588,2028261,800459,504815,1626,3571,1441,1180,4723787,3380136,1202342,348961,99470,251399,2516588,2028261,111545062,2108587001,8101160,39328867,111572368,2147909818,25292055,92619729,12169495,61842706,33876,7831,29819,25938,62666,33812,485479,292005,6334,384846,4115228,5876085,175587,1229807,322331,147842,7627470,15718776,274201,678265,0,0,0,0,0,0,0,0,111572368,2240381659,108174214,2329628905,105757184,1569996751,91947320,1362801545,28072171,186400450,6645500,18981920,9679955,539487486,2292424,213034856,1711363,4936494,139870,859615,0,0,0,0,0,0,0,0,111572368,2147909818,71892970,341320799,68798298,212067516,3882897,129253283,39376514,257383692,13878584,5150593,,
No adjusted gross income,2096,744,3540,0,0,2999,2369,1239,572,1197,395,545,2022,2041,1022,1548,380,337,1153,174,953,0,0,0,0,140,117,0,0,0,0,0,0,1313,1397,1037,448,15,73,1232,351,1031,530,0,0,0,0,1313,1397,1037,448,15,73,1232,351,2094,113851,2259,620,2096,114270,840,12125,620,8943,0,0,0,0,0,0,0,0,4,314,2043,369,22,830,2552,1276,479,2287,4320,1316,0,0,0,0,0,0,0,0,2096,126394,1618,168993,1399,42969,1007,28323,606,13865,1185,1628,407,90184,260,35441,1178,1322,146,64,0,0,0,0,0,0,0,0,2096,114270,1091,74224,21526,39739,2324,43853,1006,32215,622,596,,
"$1 under $5,000",120341,16063,679,16036,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120341,15081,0,0,120341,15081,15993,3843,12970,3538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120341,18924,39807,15695,32254,10217,21168,5600,11087,3759,0,0,1042,3741,7553,1737,0,0,0,0,0,0,0,0,0,0,0,0,120341,15081,22695,9367,0,0,0,0,95639,12604,0,0,,
"$5,000 under $10,000",141213,27512,3241,26396,1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141213,42411,0,0,141213,42411,18107,15318,11052,14495,0,0,0,0,0,0,0,0,0,0,7163,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141213,57729,94974,70747,83240,33370,76522,24491,11757,8879,0,0,7811,28011,8706,8391,0,0,0,0,0,0,0,0,0,0,0,0,141213,42411,58138,43761,50082,31275,8164,12486,82067,30979,6684,236,,
"$10,000 under $15,000",641689,40327,4251,21157,2427,0,0,0,0,9055,307,984,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11134,1390,9134,1349,0,0,0,0,0,0,0,0,0,0,11134,1390,9134,1349,0,0,0,0,640711,88480,0,0,641689,88533,88900,105474,67059,98818,0,0,0,0,0,0,0,0,0,0,12643,5189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641689,194007,556540,429305,544396,388905,520715,326998,37736,29353,2991,30201,13005,24434,3989,14141,0,0,0,0,0,0,0,0,0,0,0,0,641689,88533,511272,349522,503237,333937,9043,15585,130417,116705,31444,2481,,
"$15,000 under $20,000",4028011,894046,102868,57869,4379,0,0,26262,3833,219924,34405,3033,1528,0,0,0,0,8356,574,1309,318,0,0,0,0,7047,256,0,0,0,0,0,0,641043,57489,581212,49983,0,0,9062,639,60785,6867,0,0,0,0,641043,57489,581212,49983,0,0,9062,639,4028010,1317320,0,0,4028011,1317468,601088,853223,435195,805831,0,0,3024,1502,0,0,9071,631,0,0,71588,16807,6944,6829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4028011,2170195,3548874,4420546,3494938,3748776,3058615,2902246,596348,818508,15055,15051,60629,163153,9283,26181,0,0,7370,381169,0,0,0,0,0,0,0,0,4028011,1317468,3202965,3121430,3192358,3104028,16607,17402,815991,890844,198867,19269,,
"$20,000 under $25,000",4176659,820381,168955,98476,6073,0,0,59342,17671,561171,95311,22234,11930,0,0,9569,5053,4158,2449,5166,4247,0,0,0,0,0,0,0,0,0,0,0,0,122706,28599,6006,494,0,0,21135,4041,92568,22769,0,0,0,0,122706,28599,6006,494,0,0,21135,4041,4176659,3257177,0,0,4176659,3257177,668638,912911,405995,829091,9058,1134,0,0,12082,2636,12085,1642,0,0,90551,32794,3984,4509,0,0,159,327,3678,5191,0,0,0,0,0,0,0,0,4176659,4169584,3801218,6191354,3745655,5610503,3286866,4612125,672884,985722,13648,9388,68373,396086,15294,15816,2054,330,9088,79910,0,0,0,0,0,0,0,0,4176659,3257177,3207400,3149944,3182441,3100019,31914,49926,961205,1151039,192001,22360,,
"$25,000 under $30,000",4418022,1285241,292932,106330,15527,0,0,117258,57978,940886,108085,98817,49912,5023,4029,11400,8820,3009,2497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128645,44853,0,0,0,0,38236,12160,83381,25263,0,0,0,0,128645,44853,0,0,0,0,38236,12160,4416066,5552001,3236,768,4418022,5552159,668679,988782,356177,850218,4031,285,5040,5903,6047,2499,11594,2566,0,0,91585,28032,2976,1152,0,0,0,0,6355,1280,0,0,0,0,0,0,0,0,4418022,6540692,4150496,8627197,4085769,7980564,3624790,6810488,685238,1131895,18616,16363,72321,512702,19921,58819,0,0,6374,32292,0,0,0,0,0,0,0,0,4418022,5552159,3384596,3338948,3366254,3266848,28027,72100,1026855,1277755,217660,25038,,
